word,Frequency
ect,1091.0
enron,820.0
phillip,647.0
k,339.0
pm,290.0
subject,241.0
would,229.0
forwarded,226.0
cc,225.0
enronxgate,218.0
ees,202.0
please,189.0
gas,158.0
need,136.0
project,110.0
get,108.0
allen,106.0
call,105.0
meeting,102.0
power,98.0
cost,94.0
loan,91.0
work,89.0
know,88.0
time,87.0
like,85.0
also,85.0
john,84.0
price,84.0
new,83.0
email,78.0
jeff,73.0
george,70.0
scott,67.0
mike,66.0
list,66.0
let,65.0
think,65.0
plan,65.0
sent,64.0
j,64.0
construction,64.0
keith,63.0
may,63.0
use,63.0
week,63.0
1,61.0
mark,61.0
one,60.0
land,60.0
market,60.0
costs,59.0
position,59.0
want,59.0
http,59.0
cash,58.0
questions,57.0
access,57.0
see,56.0
thanks,56.0
deal,55.0
back,54.0
basis,54.0
richard,53.0
l,53.0
yes,53.0
west,53.0
san,52.0
units,51.0
hunter,51.0
thank,50.0
manager,50.0
desk,50.0
could,50.0
still,50.0
3,49.0
total,49.0
communications,49.0
larry,48.0
make,48.0
outlook,48.0
attached,48.0
going,47.0
2,47.0
daily,46.0
information,46.0
lot,46.0
two,46.0
lucy,45.0
w,45.0
california,45.0
good,45.0
tim,45.0
property,44.0
steve,44.0
book,44.0
pallen,44.0
go,43.0
date,43.0
paid,43.0
rent,43.0
year,43.0
2000,43.0
today,42.0
frank,42.0
request,42.0
last,41.0
company,41.0
physical,41.0
forward,41.0
socal,41.0
take,40.0
loans,40.0
robert,40.0
site,39.0
office,39.0
help,39.0
james,38.0
trading,38.0
c,37.0
following,37.0
first,37.0
try,37.0
per,37.0
michael,37.0
current,36.0
day,36.0
million,36.0
note,36.0
team,36.0
send,36.0
migration,35.0
regarding,35.0
value,35.0
issues,35.0
might,35.0
5,35.0
data,35.0
click,34.0
name,34.0
number,34.0
anyone,34.0
said,34.0
since,33.0
fax,33.0
austin,33.0
using,33.0
next,33.0
friday,33.0
positions,33.0
id,33.0
unit,33.0
due,33.0
builders,32.0
alan,32.0
equity,32.0
us,32.0
iso,32.0
monday,32.0
give,31.0
chris,31.0
contract,31.0
line,31.0
energy,31.0
david,31.0
pay,31.0
type,31.0
jim,31.0
additional,31.0
susan,31.0
cbpres,31.0
amount,30.0
order,30.0
profit,30.0
able,30.0
set,30.0
sure,30.0
p,30.0
look,30.0
different,30.0
wednesday,30.0
front,30.0
paul,29.0
much,29.0
contact,29.0
receive,29.0
report,29.0
based,29.0
months,29.0
file,29.0
4,29.0
received,29.0
design,29.0
address,29.0
richards,29.0
free,28.0
find,28.0
believe,28.0
review,28.0
jeffrey,28.0
mary,28.0
specialist,28.0
partnership,27.0
provide,27.0
complete,27.0
description,27.0
discuss,27.0
b,27.0
update,27.0
trades,27.0
response,27.0
bid,27.0
less,26.0
morning,26.0
2001,26.0
however,26.0
investment,26.0
fees,26.0
deals,26.0
h,26.0
tomorrow,26.0
10,26.0
instructions,26.0
available,26.0
show,26.0
owa,26.0
way,26.0
buyer,26.0
risk,26.0
points,25.0
smith,25.0
prior,25.0
thursday,25.0
ferc,25.0
used,25.0
needs,25.0
respond,25.0
around,25.0
utilities,25.0
prices,25.0
notes,25.0
else,25.0
plans,25.0
start,25.0
gary,24.0
business,24.0
improvement,24.0
offer,24.0
many,24.0
creekside,24.0
closing,24.0
left,24.0
program,24.0
sr,24.0
looks,24.0
full,24.0
ina,24.0
even,24.0
long,24.0
high,24.0
user,23.0
index,23.0
east,23.0
e,23.0
track,23.0
joe,23.0
message,23.0
kevin,23.0
interest,23.0
probably,23.0
management,23.0
allan,22.0
house,22.0
mgusa,22.0
north,22.0
schedule,22.0
rentroll,22.0
room,22.0
come,22.0
general,22.0
end,22.0
lewter,22.0
matt,22.0
meetings,22.0
state,22.0
real,22.0
monthly,22.0
impact,22.0
point,22.0
mw,22.0
spreadsheet,22.0
internet,22.0
development,22.0
transport,22.0
demand,21.0
weekend,21.0
soon,21.0
actual,21.0
home,21.0
deposit,21.0
missed,21.0
part,21.0
center,21.0
included,21.0
copy,21.0
numbers,21.0
financing,21.0
check,21.0
three,21.0
city,21.0
brenda,20.0
terms,20.0
phone,20.0
later,20.0
greg,20.0
juan,20.0
bank,20.0
another,20.0
higher,20.0
expenses,20.0
traders,20.0
done,20.0
marcos,20.0
change,20.0
form,20.0
direct,20.0
load,20.0
place,20.0
reagan,20.0
ability,20.0
estimates,19.0
prepared,19.0
month,19.0
roof,19.0
6,19.0
survey,19.0
possible,19.0
projects,19.0
fee,19.0
better,19.0
march,19.0
credit,19.0
via,18.0
enough,18.0
colleen,18.0
right,18.0
feel,18.0
detailed,18.0
currently,18.0
f,18.0
western,18.0
password,18.0
getting,18.0
without,18.0
plus,18.0
across,18.0
mailbox,18.0
generation,18.0
wade,18.0
calendar,18.0
tuesday,18.0
either,18.0
fixed,18.0
ca,18.0
karen,18.0
sales,18.0
r,18.0
issue,18.0
years,18.0
meet,18.0
russ,18.0
image,18.0
near,17.0
side,17.0
thomas,17.0
initial,17.0
concerns,17.0
jacques,17.0
grid,17.0
llc,17.0
computer,17.0
presentation,17.0
westgate,17.0
selling,17.0
options,17.0
asked,17.0
items,17.0
services,17.0
exchange,17.0
group,17.0
open,17.0
talk,17.0
future,17.0
reports,17.0
billion,17.0
bring,17.0
put,17.0
mail,17.0
second,17.0
rate,17.0
jones,17.0
storage,17.0
require,17.0
requirements,16.0
agreement,16.0
wants,16.0
christopher,16.0
eric,16.0
comments,16.0
september,16.0
plants,16.0
12,16.0
afternoon,16.0
things,16.0
table,16.0
area,16.0
rental,16.0
required,16.0
15,16.0
accepted,16.0
answer,16.0
best,16.0
keep,16.0
requested,16.0
summary,16.0
sell,16.0
tds,16.0
central,16.0
engineer,16.0
40,16.0
starting,16.0
product,16.0
approved,16.0
29,16.0
well,16.0
